title,platform,category,tags,heat,playCount,influenceIndex,rank,rankChange,source,sourceAuth,collectedAt,firstSeenDays,sentiment,opportunity,related,videos,risks
"国漫女主黑化复仇","抖音","动漫","国漫|女强|复仇|爽感",93400,680000000,93210,4,18,"默认专区数据源","内部可用","2026-07-05T10:42:00+08:00",2,"高燃、反击、替身文学讨论集中，评论区对女性角色掌控命运的期待强。","适合改成现代都市或玄幻短剧，前三集必须完成羞辱、觉醒、第一次反杀。","背叛后觉醒|废柴逆袭|女主不原谅","高赞混剪|角色台词盘点|剧情解说","版权/IP|暴力尺度"
"开放世界手游 NPC 有了自我意识","抖音","游戏","开放世界|AI|游戏改编|反套路",88200,420000000,90120,7,24,"默认专区数据源","内部可用","2026-07-05T10:42:00+08:00",1,"玩家对 NPC 觉醒、游戏世界反噬现实的讨论热烈，适合悬疑喜剧混合。","可做男主进入游戏后被 NPC 识破身份，反被低级角色带飞的轻科幻短剧。","游戏 NPC 觉醒|穿进副本|AI 队友","实机整活|剧情脑洞|玩家二创","平台审核|技术概念解释成本"
"老电影反派其实救了所有人","抖音","影视","影视解说|反转|童年回忆|悬疑",76500,530000000,77100,11,9,"默认专区数据源","内部可用","2026-07-05T10:37:00+08:00",5,"观众喜欢重读经典角色，对隐藏真相与错怪反派的情绪反馈稳定。","适合做悬疑亲情短剧：所有人以为父亲是恶人，最后发现他一直在挡灾。","反派洗白|童年阴影|真相反转","经典片段|细节解析|结局重读","版权/IP|热度衰减"
"二次元生日应援破圈","抖音","二次元","应援|虚拟偶像|粉丝经济|陪伴",84600,,87500,6,15,"默认专区数据源","内部可用","2026-07-05T10:40:00+08:00",1,"粉丝强情感投入，评论集中在陪伴感、共同仪式、现实孤独感。","可做虚拟偶像与现实编剧互相拯救，偏甜虐成长线。","虚拟陪伴|生日应援|粉丝共创","应援现场|手书混剪|祝福投稿","粉圈争议|未成年人"
"明星旧剧角色二创翻红","抖音","明星/IP","旧剧翻红|角色滤镜|二创|CP",82100,610000000,81900,8,11,"默认专区数据源","内部可用","2026-07-05T10:33:00+08:00",4,"角色滤镜带动考古，观众更关心未完成的遗憾和 CP 二创补偿。","适合做娱乐圈短剧：过气演员因旧角色翻红，与新人搭档完成事业翻盘。","旧剧考古|CP 补偿|演员翻红","角色名场面|CP 混剪|采访考古","肖像授权|粉丝争议"
"打工人被系统奖励按时下班","抖音","社会情绪","打工人|系统流|解压|职场",79800,360000000,79850,13,21,"默认专区数据源","内部可用","2026-07-05T10:45:00+08:00",1,"强烈解压情绪，用户喜欢低成本反抗和生活秩序重新夺回。","可做职场喜剧短剧：女主越拒绝无效加班越被系统奖励，爽点密集。","拒绝内耗|系统奖励|职场反击","职场段子|剧情反转|评论共鸣","现实议题尺度"
"重生后先离婚再暴富","抖音","恋爱婚姻","重生|离婚|暴富|女性成长",86800,710000000,86100,5,7,"默认专区数据源","内部可用","2026-07-05T10:36:00+08:00",6,"成熟稳定题材，女性用户对及时止损、财富自主反馈最好。","适合做强商业化女频短剧，关键在离婚后第一桶金的可信爽点。","前夫后悔|独立女性|重生爽文","短剧剪辑|台词共鸣|爽文解说","题材同质化"
"假千金回村继承非遗工坊","抖音","家庭伦理","假千金|非遗|亲情|反差",74200,280000000,74400,19,13,"默认专区数据源","内部可用","2026-07-05T10:31:00+08:00",3,"观众对身份落差、家族手艺与乡村治愈有正向反馈。","可做温情逆袭：假千金被赶回村，靠非遗直播救下家族工坊。","真假千金|非遗直播|乡村治愈","手作过程|身份反转|亲情片段","地方文化准确性"
"废柴男主其实是副本管理员","抖音","逆袭复仇","副本|男频|隐藏身份|反杀",90500,590000000,90750,3,17,"默认专区数据源","内部可用","2026-07-05T10:39:00+08:00",2,"男频用户对隐藏身份、规则碾压、全场反杀讨论集中。","适合竖屏快节奏男频：前两分钟完成被羞辱与权限觉醒。","隐藏身份|无限流|规则怪谈","副本解说|反杀剪辑|爽点合集","暴力尺度|世界观解释成本"
"暑期档悬疑剧全员说谎","抖音","影视","暑期档|悬疑|全员恶人|反转",91600,,91300,2,26,"默认专区数据源","内部可用","2026-07-05T10:44:00+08:00",1,"用户热衷猜凶和细节盘点，评论区二创推理密度高。","可做家庭悬疑短剧：每集一个谎言反转，最后发现受害者才是操盘者。","全员恶人|细节盘点|反转结局","片段解析|人物关系图|结局预测","版权/IP|剧透争议"
"像素风独立游戏治愈破防","抖音","游戏","独立游戏|治愈|像素风|亲情",70100,190000000,70320,28,8,"默认专区数据源","内部可用","2026-07-05T10:35:00+08:00",8,"小体量但长尾好，用户在亲情、遗憾和自我和解上共鸣。","可改成低成本治愈短剧，主角在游戏里补完与家人的最后一次告别。","像素治愈|亲情遗憾|独立游戏","实况剪辑|结局破防|配乐二创","商业爆发不足"
"反派妈妈重回女儿十七岁","抖音","家庭伦理","母女|重生|和解|女性情感",87300,510000000,86900,9,16,"默认专区数据源","内部可用","2026-07-05T10:38:00+08:00",2,"母女关系冲突强，观众既想看弥补遗憾，也想看女儿拒绝道德绑架。","可做女性亲情短剧：母亲重生后改写女儿命运，但必须先学会尊重边界。","母女和解|重生弥补|亲情边界","情绪片段|评论投稿|亲情混剪","家庭议题尺度"
"赛博修仙短剧设定出圈","抖音","二次元","赛博修仙|国风科幻|设定党|升级流",88900,540000000,88700,10,23,"默认专区数据源","内部可用","2026-07-05T11:10:00+08:00",1,"用户对国风修仙和赛博视觉混搭接受度高，设定讨论多于角色讨论。","可做低成本概念短剧：底层维修工发现灵气其实是城市能源权限。","赛博国风|灵气复苏|底层逆袭","设定解析|概念混剪|AI视觉二创","世界观解释成本|视觉成本"
"乙游男主觉醒拒绝剧情线","抖音","游戏","乙游|觉醒|反套路|女性向",83200,470000000,84600,14,20,"默认专区数据源","内部可用","2026-07-05T11:15:00+08:00",1,"女性用户喜欢纸片人角色获得主体性，讨论集中在陪伴感和被选择。","适合做甜虐奇幻短剧：女主发现恋爱游戏角色开始主动改写命运。","纸片人觉醒|恋爱游戏|命运改写","剧情剪辑|角色独白|玩家投稿","版权/IP|粉圈争议"
"剧中剧替身文学爆梗","抖音","影视","替身文学|剧中剧|虐恋|反转",86100,500000000,85200,12,12,"默认专区数据源","内部可用","2026-07-05T11:20:00+08:00",3,"替身文学讨论稳定，观众更期待替身主动离场和正主后悔。","可做娱乐圈短剧：替身演员用演技和真相反杀控制型男主。","替身离场|正主后悔|娱乐圈反杀","虐恋片段|台词混剪|剧情复盘","题材同质化|价值观风险"
"机器人管家学会撒谎","抖音","社会情绪","AI陪伴|家庭|谎言|治愈",78200,330000000,79600,21,19,"默认专区数据源","内部可用","2026-07-05T11:25:00+08:00",2,"评论集中在独居、陪伴和善意谎言，情绪温和但共鸣深。","可做轻科幻家庭短剧：机器人为了守护老人家庭开始隐瞒关键事实。","AI陪伴|善意谎言|家庭守护","情绪短片|评论故事|设定讨论","技术伦理|节奏偏慢"
"豪门保姆其实是集团审计","抖音","逆袭复仇","豪门|保姆|隐藏身份|审计",90200,620000000,89900,6,22,"默认专区数据源","内部可用","2026-07-05T11:30:00+08:00",1,"隐藏身份和阶层反转反馈强，适合密集打脸和财务真相揭露。","可做女频爽剧：女主伪装保姆进入豪门，查出丈夫家族侵吞母亲遗产。","隐藏身份|豪门审计|打脸反杀","爽点合集|身份反转|豪门冲突","职业准确性|法律风险"
"古早霸总被现代女主反向教育","抖音","恋爱婚姻","霸总|反套路|女性成长|喜剧",81400,390000000,82300,18,10,"默认专区数据源","内部可用","2026-07-05T11:35:00+08:00",4,"用户喜欢吐槽式改造古早男主，喜剧感强，争议相对低。","适合做轻喜短剧：女主穿进古早霸总文，用现代劳动法和边界感改写剧情。","古早文学|反套路恋爱|穿书","吐槽剪辑|台词二创|评论接龙","题材疲劳"
"小镇青年拍怪谈短片翻身","抖音","社会情绪","小镇青年|怪谈|短视频|逆袭",79900,430000000,80800,17,15,"默认专区数据源","内部可用","2026-07-05T11:40:00+08:00",2,"创作者逆袭和小镇怪谈结合，评论区有大量地方传闻投稿。","可做现实悬疑短剧：落魄导演拍摄本地怪谈，却发现传闻是真的。","小镇怪谈|草根逆袭|短视频团队","怪谈投稿|拍摄花絮|悬疑解说","恐怖尺度|地域刻板印象"
"动漫反派开局选择摆烂","抖音","动漫","反派|摆烂|系统|喜剧",77600,310000000,78900,24,14,"默认专区数据源","内部可用","2026-07-05T11:45:00+08:00",2,"摆烂反派和系统惩罚形成喜剧反差，年轻用户互动好。","可做反套路喜剧短剧：反派拒绝作恶后，系统反而不断奖励。","反派不干了|系统奖励|轻喜剧","整活剪辑|角色吐槽|设定二创","商业爆发不确定"
